,price,room_type,cancellation_policy,host_is_superhost,host_identity_verified,is_location_exact,has_availability,requires_license,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,latitude,longitude
1814,55,Private room,flexible,True,True,True,True,False,False,False,False,2,1.5,1.0,1.0,0.0,15.0,1,20,1,14,30,60,90,90,20,100.0,10.0,10.0,10.0,10.0,10.0,10.0,4,0.98,-37.81257293,145.1204114
1815,150,Entire home/apt,moderate,False,False,True,True,False,False,False,False,2,1.0,1.0,1.0,500.0,50.0,1,0,5,60,0,4,34,214,9,93.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.16,-37.83936445,144.93752969999997
1816,120,Entire home/apt,moderate,False,True,True,True,False,False,False,False,4,1.0,2.0,2.0,0.0,50.0,2,10,3,1125,9,9,15,162,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.59,-37.83367482,144.9572889
1817,140,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,False,False,3,1.0,1.0,2.0,300.0,80.0,2,20,2,1125,28,55,85,202,4,90.0,10.0,8.0,10.0,10.0,10.0,10.0,12,1.9,-37.819168299999994,144.9550748
1818,100,Entire home/apt,moderate,False,False,True,True,False,False,False,False,6,1.5,3.0,3.0,250.0,70.0,6,0,1,1125,15,34,64,145,4,100.0,10.0,10.0,10.0,10.0,9.0,10.0,2,1.79,-37.8291289,145.18712230000003
1819,35,Private room,moderate,False,False,True,True,False,True,False,False,2,1.0,1.0,2.0,150.0,20.0,1,0,1,1125,6,27,27,27,5,96.0,10.0,9.0,10.0,10.0,10.0,10.0,4,5.0,-37.91303249,145.09659380000002
1820,260,Entire home/apt,moderate,True,True,True,True,False,False,False,False,6,2.0,3.0,3.0,300.0,50.0,1,0,2,1124,14,42,68,156,16,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.1,-37.65725358,145.5118312
1821,25,Private room,flexible,False,False,True,True,False,False,False,False,1,1.0,1.0,2.0,0.0,30.0,1,0,2,7,11,39,69,344,2,80.0,8.0,10.0,8.0,8.0,8.0,8.0,4,0.34,-37.80904277,144.9590645
1822,48,Private room,flexible,False,False,False,True,False,False,False,False,1,1.5,1.0,1.0,150.0,30.0,1,20,1,1125,0,27,57,297,2,100.0,10.0,10.0,10.0,8.0,10.0,10.0,4,0.15,-37.90503591,145.1919123
1823,71,Entire home/apt,strict_14_with_grace_period,True,False,True,True,False,False,False,False,6,2.0,2.0,4.0,200.0,69.0,4,20,2,11,10,25,25,25,28,97.0,10.0,10.0,10.0,10.0,10.0,10.0,5,2.22,-37.81119746,144.95115980000003
1824,115,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,False,False,False,3,1.0,1.0,2.0,300.0,85.0,2,25,2,1125,4,19,45,131,30,93.0,9.0,9.0,9.0,9.0,10.0,9.0,6,2.59,-37.80841494,144.9606644
1825,46,Private room,strict_14_with_grace_period,False,True,True,True,False,True,False,False,1,1.0,1.0,1.0,135.0,25.0,1,15,1,1125,0,0,0,0,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.06,-37.80276,144.9639392
1826,50,Private room,flexible,False,False,True,True,False,True,False,False,2,2.0,1.0,2.0,150.0,20.0,1,0,1,1125,15,38,68,158,10,98.0,10.0,9.0,10.0,10.0,9.0,10.0,10,3.7,-37.81321143,145.105108
1827,161,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,False,False,6,1.0,2.0,4.0,400.0,70.0,4,30,1,1125,14,27,27,27,69,91.0,9.0,9.0,9.0,10.0,10.0,9.0,1,6.63,-37.82032635,144.9431313
1828,350,Entire home/apt,strict_14_with_grace_period,False,False,False,True,False,False,False,False,8,2.0,4.0,4.0,250.0,150.0,4,25,2,1125,3,3,3,8,9,93.0,10.0,9.0,10.0,10.0,10.0,9.0,1,0.24,-37.75842175,144.8902751
1829,42,Private room,moderate,False,False,True,True,False,False,False,False,2,2.0,1.0,1.0,200.0,0.0,1,15,3,200,0,4,34,124,2,90.0,10.0,9.0,10.0,10.0,9.0,10.0,1,0.12,-37.96462013,145.1752854
1830,118,Entire home/apt,moderate,False,False,True,True,False,False,False,False,3,1.0,2.0,2.0,150.0,185.0,1,0,2,60,30,46,46,46,6,100.0,10.0,9.0,10.0,10.0,10.0,9.0,1,1.25,-37.80939876,144.96433580000001
1831,161,Entire home/apt,flexible,False,True,True,True,False,False,False,False,4,1.0,2.0,2.0,250.0,100.0,2,30,2,1125,18,44,74,74,6,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,6.0,-37.8105027,145.00805119999998
1832,120,Entire home/apt,strict_14_with_grace_period,False,False,False,True,False,True,False,False,4,1.0,2.0,2.0,500.0,75.0,1,0,1,1125,0,0,0,0,8,73.0,7.0,7.0,7.0,8.0,8.0,7.0,10,0.82,-37.8062506,144.9614679
1833,150,Entire home/apt,strict_14_with_grace_period,True,False,True,True,False,False,False,False,5,2.0,3.0,3.0,0.0,150.0,1,0,3,1125,9,9,9,9,18,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.2,-37.83398624,144.9850721
1834,50,Private room,flexible,False,False,True,True,False,True,False,False,2,1.0,2.0,3.0,0.0,0.0,1,15,1,7,29,59,89,179,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.0,-37.84438031,145.15778909999997
1835,109,Entire home/apt,moderate,False,False,False,True,False,True,False,False,2,1.0,1.0,1.0,0.0,50.0,1,0,2,1125,0,0,0,0,6,92.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0.45,-37.81870945,145.0091666
1836,91,Private room,moderate,True,True,True,True,False,True,False,False,2,1.0,1.0,1.0,0.0,0.0,2,100,2,90,23,31,61,334,127,93.0,9.0,9.0,9.0,9.0,10.0,9.0,1,1.47,-37.84505683,144.9570998
1837,129,Entire home/apt,strict_14_with_grace_period,False,False,False,True,False,True,False,False,6,1.0,2.0,3.0,250.0,115.0,4,15,2,1125,9,32,56,253,82,88.0,9.0,9.0,9.0,9.0,10.0,9.0,1,3.81,-37.80908605,144.9520064
1838,215,Entire home/apt,moderate,False,True,True,True,False,False,False,False,6,2.0,3.0,3.0,500.0,70.0,1,0,2,1125,16,23,53,233,3,87.0,9.0,6.0,10.0,10.0,10.0,9.0,1,1.38,-37.89477934,145.0742972
1839,125,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,False,False,4,1.0,1.0,3.0,200.0,45.0,2,15,1,1125,18,45,75,165,24,93.0,9.0,9.0,9.0,9.0,10.0,9.0,18,1.54,-37.81539905,144.9539389
1840,98,Entire home/apt,moderate,False,False,True,True,False,True,False,False,2,1.0,1.0,1.0,139.0,80.0,1,0,1,1125,22,49,79,79,1,60.0,10.0,6.0,10.0,10.0,10.0,10.0,11,1.0,-37.80787773,144.96258980000002
1841,195,Entire home/apt,moderate,True,True,False,True,False,False,False,False,4,2.0,2.0,2.0,500.0,115.0,1,0,2,31,9,25,52,313,23,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.93,-37.83870126,144.9931079
1842,114,Entire home/apt,strict_14_with_grace_period,False,False,True,True,False,True,False,False,4,1.0,1.0,2.0,199.0,69.0,3,14,1,1124,26,48,78,353,155,89.0,9.0,9.0,10.0,10.0,10.0,9.0,98,5.08,-37.81789757,144.9545984
1843,186,Entire home/apt,moderate,True,False,True,True,False,True,False,False,4,1.0,2.0,2.0,200.0,75.0,4,30,1,60,16,41,71,71,51,95.0,10.0,10.0,10.0,10.0,10.0,10.0,11,4.31,-37.82647613,144.9560967
